name,ring,quadrant,isNew,description
Data Mesh,trial,techniques,TRUE,"Пилот в 1-2 доменах затем масштабирование по этапам программы"
Event-Driven Architecture,adopt,techniques,FALSE,"Целевое взаимодействие доменов; Camel и DWH только как мосты совместимости"
Domain-Driven Design,adopt,techniques,FALSE,"Границы контекстов и data products совпадают с доменами бизнеса"
Self-service BI,adopt,techniques,FALSE,"Портал витрин, выдача прав по доменам, ограничение PHI вне витрины"
Data Contract / Schema Registry,trial,techniques,TRUE,"Единый каталог схем событий и контрактов API витрин"
Batch + Near-real-time,trial,techniques,FALSE,"Пакет для отчетности регуляторов; потоки для операционных срезов и монетизации"
Anti-Corruption Layer,trial,techniques,FALSE,"Слой между легаси DWH, Camel и целевыми сервисами доменов"
Zero Trust / IAM по доменам,adopt,techniques,FALSE,"Облачные политики доступа, сегментация PHI и финансовых данных"
Lakehouse-паттерн,assess,techniques,TRUE,"Унификация batch и stream при росте объемов"
Управляемый Kubernetes (облако),adopt,platforms,FALSE,"Рантайм для сервисов финтеха, интеграций и data plane"
Объектное хранилище и ледяное хранилище,adopt,platforms,FALSE,"Сырые зоны, архив, большие объемы исследований вне витрины самообслуживания"
Распределённый SQL / колоночное DWH в облаке,trial,platforms,TRUE,"Целевой аналитический слой вместо монолитной логики в SQL Server 2008"
Потоковая платформа Kafka-совместимая или облачный аналог,trial,platforms,TRUE,"Шина событий, DLQ, репликация между регионами"
Microsoft SQL Server 2008 (DWH),hold,platforms,FALSE,"Миграция бизнес-логики наружу сокращение нагрузки отчетности на ядро"
IaC Terraform или аналог облака,adopt,tools,FALSE,"Воспроизводимые среды по доменам"
CI/CD GitOps-подход,adopt,tools,FALSE,"Конвейеры для сервисов и data pipelines"
Data Catalog OpenMetadata или линейка облака,trial,tools,TRUE,"Поиск data products, происхождение данных, владельцы"
dbt или облачный оркестратор SQL-трансформаций,trial,tools,TRUE,"Стандартизованные витрины внутри домена"
Power BI,adopt,tools,FALSE,"Основная визуализация; источники data products без прямого доступа к PHI"
Apache Camel,hold,tools,FALSE,"Только мосты; новые интеграции на событиях и API"
PowerBuilder (операторский UI),hold,tools,FALSE,"Замена веб-клиентами доменов по мере готовности"
Feature Store для ИИ,assess,tools,TRUE,"Монетизация ИИ воспроизводимость признаков"
Python (ИИ-сервисы),adopt,languages & frameworks,FALSE,"Текущий стек ML и ИИ"
Go / Java (финтех),adopt,languages & frameworks,FALSE,"Текущий стек транзакционных сервисов"
